"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
5.058218130E-1;-4.963910580E0;9.343972206E0;2.797209740E0;1.094415859E1
5.079910750E-1;-5.030909538E0;9.348757744E0;2.806781054E0;1.098122680E1
5.101639370E-1;-5.088337421E0;9.348757744E0;2.825923443E0;1.101255158E1
5.123324950E-1;-5.174479008E0;9.315258980E0;2.811566591E0;1.102062564E1
5.144984490E-1;-5.250451088E0;9.329017639E0;2.830709219E0;1.107297256E1
5.166459710E-1;-5.312664509E0;9.300303459E0;2.849851847E0;1.108339768E1
5.188219570E-1;-5.336592674E0;9.290732384E0;2.883351326E0;1.109552362E1
5.210038720E-1;-5.350949764E0;9.257232666E0;2.907279491E0;1.108067209E1
5.231790840E-1;-5.360520840E0;9.233304024E0;2.931805849E0;1.107179174E1
5.253446510E-1;-5.389235020E0;9.190233231E0;2.941377163E0;1.105241786E1
5.275185300E-1;-5.408377171E0;9.180662155E0;3.003590584E0;1.107053105E1
5.296890430E-1;-5.422136307E0;9.123234749E0;3.027518749E0;1.103625136E1
5.318614770E-1;-5.436492920E0;9.061020851E0;3.042474031E0;1.099609942E1
5.340319790E-1;-5.412564754E0;9.003593445E0;3.061616659E0;1.094230546E1
5.362107410E-1;-5.446064472E0;8.950951576E0;3.038286448E0;1.090918590E1
5.383755460E-1;-5.446064472E0;8.888737679E0;3.038286448E0;1.085819784E1
5.405457730E-1;-5.412564754E0;8.793622971E0;3.019742250E0;1.075836909E1
5.427136810E-1;-5.378467083E0;8.697910309E0;2.977269650E0;1.065108851E1
5.448859210E-1;-5.349753380E0;8.621339798E0;2.891726255E0;1.055032899E1
5.470573180E-1;-5.297111034E0;8.540582657E0;2.825325251E0;1.043951149E1
5.492288170E-1;-5.301896572E0;8.497511864E0;2.763710260E0;1.039018333E1
5.513999300E-1;-5.263611794E0;8.445467949E0;2.701496840E0;1.031162563E1
5.535707170E-1;-5.206183910E0;8.411968231E0;2.639881611E0;1.023887373E1
5.557432830E-1;-5.167898655E0;8.411968231E0;2.611167669E0;1.021208023E1
5.579146190E-1;-5.167898655E0;8.397610664E0;2.553740025E0;1.018570712E1
5.600841030E-1;-5.124827862E0;8.307282448E0;2.506481647E0;1.007756183E1
5.622540860E-1;-5.650052547E0;7.567301750E0;9.044869542E-1;9.487109476E0
5.644249440E-1;-5.507081509E0;7.558328629E0;9.379864931E-1;9.398728481E0
5.665962900E-1;-5.186442852E0;7.853842258E0;1.854437590E0;9.592755936E0
5.687676870E-1;-5.014758110E0;8.020143509E0;2.603989124E0;9.810772659E0
5.709393180E-1;-4.775475979E0;8.139784813E0;2.894717216E0;9.871203340E0
5.731114890E-1;-4.741976261E0;8.154141426E0;2.928216696E0;9.876781575E0
5.752819600E-1;-4.642076015E0;8.221738815E0;2.813361168E0;9.851947013E0
5.774516070E-1;-4.575077057E0;8.236693382E0;2.569891453E0;9.766206532E0
5.796223230E-1;-4.579862595E0;8.251050949E0;2.321038008E0;9.718137712E0
5.817937090E-1;-4.585246563E0;8.351549149E0;2.139183521E0;9.764679481E0
5.839645170E-1;-4.518247128E0;8.361719131E0;1.995614052E0;9.711610545E0
5.861355670E-1;-4.475176334E0;8.495717049E0;1.894517303E0;9.787420866E0
5.883067290E-1;-4.499702930E0;8.586644173E0;1.798206210E0;9.859580629E0
5.904764180E-1;-4.461417675E0;8.701499939E0;1.702493310E0;9.925665334E0
5.926394940E-1;-4.504488468E0;8.782855988E0;1.658824325E0;1.000902961E1
5.948184080E-1;-4.504488468E0;8.835497856E0;1.610967875E0;1.004747014E1
5.969893470E-1;-4.533800602E0;8.892925262E0;1.567298889E0;1.010425126E1
5.991641220E-1;-4.628915310E0;8.930612564E0;1.633699656E0;1.019076407E1
6.013353360E-1;-4.691128731E0;9.021539688E0;1.757528186E0;1.031909746E1
6.035139460E-1;-4.810770035E0;9.097511292E0;1.953141451E0;1.047487382E1
6.056755240E-1;-4.839483738E0;9.149555206E0;2.273181438E0;1.059727876E1
6.078470440E-1;-4.935196877E0;9.192028046E0;2.526222467E0;1.073458652E1
6.100155520E-1;-5.078765869E0;9.291330338E0;2.797807932E0;1.095218752E1
6.121832370E-1;-5.269593716E0;9.396016121E0;3.093321562E0;1.120813879E1
6.143408600E-1;-5.451447964E0;9.457033157E0;3.336193085E0;1.141419929E1
6.165286040E-1;-5.700301647E0;9.542576790E0;3.503092289E0;1.165443548E1
6.186989020E-1;-6.010770321E0;9.599406242E0;3.531208038E0;1.186370053E1
6.208910200E-1;-6.312266350E0;9.650852203E0;3.573680639E0;1.207289725E1
6.230585930E-1;-6.632306099E0;9.707681656E0;3.482155085E0;1.226180946E1
6.252321460E-1;-6.785446644E0;9.698110580E0;3.376870871E0;1.230848861E1
6.273992700E-1;-6.876374245E0;9.726823807E0;3.247658491E0;1.234677730E1
6.295605760E-1;-7.005586624E0;9.702896118E0;3.089732170E0;1.236005186E1
6.317079160E-1;-7.034300327E0;9.722038269E0;2.898904562E0;1.234516330E1
6.338912750E-1;-6.962515831E0;9.693922997E0;2.774477959E0;1.225342800E1
6.360678800E-1;-6.847660065E0;9.632308006E0;2.703291416E0;1.212351394E1
6.382594390E-1;-6.623332977E0;9.608379364E0;2.804388046E0;1.200225337E1
6.404264320E-1;-6.384050846E0;9.494122505E0;2.995813847E0;1.182663807E1
6.425983890E-1;-6.135197163E0;9.340981483E0;3.236292601E0;1.163478273E1
6.447612700E-1;-5.895915031E0;9.212367058E0;3.480958700E0;1.147809193E1
6.469166150E-1;-5.727818966E0;9.102297783E0;3.768097401E0;1.139553830E1
6.490944100E-1;-5.622535229E0;9.011369705E0;4.045664787E0;1.136596190E1
6.512777200E-1;-5.579464436E0;8.919844627E0;4.333401680E0;1.137859489E1
6.534526170E-1;-5.550750256E0;8.852845192E0;4.515256405E0;1.138293621E1
6.556229750E-1;-5.564508915E0;8.795417786E0;4.658825874E0;1.140297295E1
6.577839250E-1;-5.593223095E0;8.761918068E0;4.744967461E0;1.142672608E1
6.599358410E-1;-5.598008633E0;8.709276199E0;4.788038254E0;1.140677443E1
6.621341660E-1;-5.621936798E0;8.685347557E0;4.831109047E0;1.141845218E1
6.643013500E-1;-5.631507874E0;8.647063255E0;4.846064091E0;1.140043513E1
6.664792680E-1;-5.631507874E0;8.623134613E0;4.788636208E0;1.135796497E1
6.686385900E-1;-5.598008633E0;8.570492744E0;4.693521500E0;1.126144709E1
