"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
5.084660160E-1;-4.079762697E-1;4.679164886E0;8.940781593E0;1.009943583E1
5.106372390E-1;-3.840480447E-1;4.607379913E0;8.883354187E0;1.001446075E1
5.127989620E-1;-3.888336718E-1;4.607379913E0;8.873783112E0;1.000615650E1
5.149789960E-1;-3.984049559E-1;4.612165451E0;8.864211082E0;1.000025174E1
5.171286950E-1;-4.031906128E-1;4.636094093E0;8.825926781E0;9.977620691E0
5.193142000E-1;-3.984049559E-1;4.674378872E0;8.816354752E0;9.986824092E0
5.214796770E-1;-3.942175210E-1;4.703093052E0;8.797212601E0;9.983258048E0
5.236543290E-1;-3.846462369E-1;4.722235680E0;8.801998138E0;9.996130940E0
5.258113120E-1;-3.702892959E-1;4.736592293E0;8.796614647E0;9.997642220E0
5.279859030E-1;-3.320041299E-1;4.703093052E0;8.801998138E0;9.985213179E0
5.301672690E-1;-3.511467278E-1;4.679164886E0;8.773283958E0;9.949291406E0
5.323402630E-1;-3.702892959E-1;4.683950424E0;8.734998703E0;9.918503319E0
5.345067980E-1;-3.750749528E-1;4.688735962E0;8.706285477E0;9.895672435E0
5.366807380E-1;-3.894318938E-1;4.712664127E0;8.663214684E0;9.869759320E0
5.388498160E-1;-4.277170599E-1;4.717449665E0;8.615358353E0;9.831666836E0
5.410209580E-1;-4.229314029E-1;4.741377831E0;8.577073097E0;9.809470812E0
5.431907370E-1;-4.372883439E-1;4.789234638E0;8.590831757E0;9.845322736E0
5.453635790E-1;-4.660021961E-1;4.870590687E0;8.581260681E0;9.878149956E0
5.475354340E-1;-4.133601189E-1;4.813162804E0;8.576474190E0;9.843440064E0
5.497069420E-1;-4.325026870E-1;4.741976261E0;8.534002304E0;9.772542799E0
5.518762230E-1;-4.229314029E-1;4.708476543E0;8.500502586E0;9.726621538E0
5.540481800E-1;-4.420739710E-1;4.694119930E0;8.519644737E0;9.737275685E0
5.562174110E-1;-4.468596280E-1;4.722833633E0;8.514859200E0;9.747187709E0
5.583891230E-1;-4.755735099E-1;4.741976261E0;8.486145973E0;9.732789040E0
5.605591560E-1;-4.612165689E-1;4.761118889E0;8.476573944E0;9.733102261E0
5.627304610E-1;-4.372883439E-1;4.789832592E0;8.481359482E0;9.750239793E0
5.649016850E-1;-4.325026870E-1;4.799404144E0;8.471190453E0;9.745891770E0
5.670759520E-1;-3.894318938E-1;4.794618607E0;8.499904633E0;9.766698702E0
5.692504600E-1;-4.037888348E-1;4.780261517E0;8.490931511E0;9.752428596E0
5.714175750E-1;-3.846462369E-1;4.761118889E0;8.486145973E0;9.738114770E0
5.735844350E-1;-3.942175210E-1;4.761118889E0;8.462217331E0;9.717653147E0
5.757542350E-1;-3.942175210E-1;4.780261517E0;8.447860718E0;9.714559091E0
5.779233130E-1;-4.037888348E-1;4.794618607E0;8.462217331E0;9.734502307E0
5.800876290E-1;-4.085744619E-1;4.813760757E0;8.490332603E0;9.768570696E0
5.822691070E-1;-3.846462369E-1;4.794618607E0;8.533403397E0;9.795677304E0
5.844405860E-1;-3.894318938E-1;4.765904427E0;8.538787842E0;9.786541780E0
5.866134170E-1;-3.942175210E-1;4.756333351E0;8.553144455E0;9.794610481E0
5.887845610E-1;-4.181457460E-1;4.794618607E0;8.605188370E0;9.859638955E0
5.909586320E-1;-4.133601189E-1;4.780261517E0;8.633902550E0;9.877552328E0
5.931232340E-1;-4.420739710E-1;4.713262558E0;8.658429146E0;9.868063063E0
5.952936130E-1;-4.037888348E-1;4.670191765E0;8.629714966E0;9.820678028E0
5.974634040E-1;-3.984049559E-1;4.655834675E0;8.648857117E0;9.830475698E0
5.996348400E-1;-4.127618968E-1;4.641477585E0;8.668000221E0;9.841133796E0
6.018007440E-1;-3.942175210E-1;4.665405750E0;8.682356834E0;9.864316422E0
6.039782650E-1;-3.942175210E-1;4.718048096E0;8.672785759E0;9.880920914E0
6.061496420E-1;-3.990031779E-1;4.718048096E0;8.701499939E0;9.906325381E0
6.083212220E-1;-3.702892959E-1;4.718048096E0;8.725427628E0;9.926236914E0
6.104890170E-1;-3.463610709E-1;4.698905468E0;8.749356270E0;9.937349432E0
6.126600890E-1;-3.272185028E-1;4.670191765E0;8.782855988E0;9.952704274E0
6.148303580E-1;-3.176472187E-1;4.646263599E0;8.792427063E0;9.949645162E0
6.169964240E-1;-3.266202807E-1;4.636692047E0;8.792427063E0;9.945469703E0
6.191903120E-1;-3.266202807E-1;4.631906509E0;8.787641525E0;9.939008114E0
6.213644450E-1;-3.320041299E-1;4.651049137E0;8.797212601E0;9.956577442E0
6.235495250E-1;-3.415754437E-1;4.646263599E0;8.773283958E0;9.933526596E0
6.256988060E-1;-3.415754437E-1;4.674977303E0;8.768498421E0;9.942768785E0
6.278693090E-1;-3.224328458E-1;4.674977303E0;8.758927345E0;9.933689343E0
6.300365040E-1;-3.080759048E-1;4.684548378E0;8.744570732E0;9.925090506E0
6.322077480E-1;-3.080759048E-1;4.684548378E0;8.749356270E0;9.929307096E0
6.343666940E-1;-2.985046208E-1;4.674977303E0;8.720642090E0;9.899197758E0
6.365430050E-1;-3.080759048E-1;4.679762840E0;8.725427628E0;9.905966802E0
6.387253170E-1;-2.889333367E-1;4.674977303E0;8.706285477E0;9.886268358E0
6.408991240E-1;-2.985046208E-1;4.684548378E0;8.687142372E0;9.874236229E0
6.430631860E-1;-2.985046208E-1;4.674977303E0;8.668000221E0;9.852854694E0
6.452137800E-1;-2.937189937E-1;4.665405750E0;8.639286041E0;9.822909190E0
6.473821550E-1;-2.937189937E-1;4.665405750E0;8.653642654E0;9.835538259E0
6.495639090E-1;-2.745763958E-1;4.660620213E0;8.648857117E0;9.828504586E0
6.517483470E-1;-2.745763958E-1;4.660620213E0;8.634500504E0;9.815873466E0
6.539203440E-1;-2.937189937E-1;4.660620213E0;8.601000786E0;9.786974309E0
6.560895030E-1;-2.841476798E-1;4.666004181E0;8.577073097E0;9.768240263E0
6.582421730E-1;-2.841476798E-1;4.661218643E0;8.563314438E0;9.753873759E0
6.604338230E-1;-2.937189937E-1;4.675575256E0;8.567501068E0;9.764699144E0
6.626039790E-1;-2.841476798E-1;4.661218643E0;8.558527946E0;9.749671777E0
6.647799130E-1;-3.032902777E-1;4.666004181E0;8.548956871E0;9.744138935E0
